handle,title,uid,pid
evil-twin-x-westbrook-brewing-ofymd-12-8-stout-473ml-can,Evil Twin x Westbrook Brewing - OFYMD - 12.8% stout 473ml can.,2793890,5076342538375
evil-twin-youre-in-the-jungle-baby-12-chilli-stout-355ml-can,Evil Twin - You're In the Jungle Baby! - 12% chilli stout 355ml can.,2249733,5076333527175
evil-twin-granny-smiths-delicious-gala-macintosh-apple-streusel-7-sour-ipa-473ml-can,Evil Twin - Granny Smith's Delicious Gala Macintosh Apple Streusel - 7% Sour IPA 473ml can.,3660054,5076311539847
evil-twin-not-so-dry-january-mango-guava-bodega-smoothie-7-5-sour-ipa-473ml-can,Evil Twin - Not So Dry January Mango Guava Bodega Smoothie - 7.5% Sour IPA 473ml can.,3627858,5076291158151
evil-twin-continental-breakfast-sour-7-5-sour-473ml-can,Evil Twin - Continental Breakfast Sour - 7.5% Sour 473ml can.,3661531,5076279230599
evil-twin-cinnamon-baked-pear-sour-7-sour-ipa-473ml-can,Evil Twin - Cinnamon Baked Pear Sour - 7% Sour IPA 473ml can.,3635528,5076270055559
evil-twin-zachs-authentic-key-lime-sour-7-sour-473ml-can,Evil Twin - Zach's Authentic Key Lime Sour - 7% Sour 473ml can.,3661534,5075758874759
gamma-beep-boop-4-ipa-440ml-can,Gamma - Beep Boop - 4% IPA 440ml can.,3765943,5074319147143
dry-bitter-juicy-gotcha-krazy-8-dipa-440ml-can,Dry & Bitter - Juicy Gotcha Krazy - 8% DIPA 440ml can.,2964557,5074312036487
dry-bitter-x-piggy-brewing-vapeur-6-neipa-440ml-can,Dry & Bitter x Piggy Brewing - Vapeur - 6% NEIPA 440ml can.,3731148,5074301026439
turning-point-rare-candy,Turning Point - Rare Candy,3766949,5074274287751
amundsen-dessert-in-a-can-mango-chocolate-creamsicle-10-5-pastry-stout-330ml-can,Amundsen - Dessert In A Can - Mango & Chocolate Creamsicle 10.5% Pastry Stout 330ml can.,3761073,5074252234887
amundsen-dessert-in-a-can-raspberry-salted-caramel-cheesecake-10-5-pastry-stout-330ml-can,"Amundsen - Dessert In A Can - Raspberry, Salted Caramel Cheesecake - 10.5% Pastry Stout 330ml can.",3761071,5074245550215
verdant-where-does-time-go-8-dipa-440ml-can,Verdant - Where Does Time Go - 8% DIPA 440ml can.,3792050,5074233229447
